main plot,subplot,plot,subsample,treatment,num_spp,p_tri,p_cc,p_can,biomass_tri,biomass_cc,biomass_can,biomass_weeds,cc_flower_total,cc_flower_viable,cc_flower_nonviable,total_canola,canola_flowers,total_flowers
407,1,407.1,A,6,3,60,15,25,123.4,247.1,21.8,27.9,179,52,127,3,1,53
407,1,407.1,B,6,3,60,15,25,176.4,205.5,0,25.9,165,101,64,0,0,101
407,2,407.2,A,9,3,15,25,60,156.9,119.3,24.7,16.2,68,35,33,5,0,35
407,2,407.2,B,9,3,15,25,60,126.8,241.5,30.5,25.2,131,42,89,3,0,42
407,3,407.3,A,7,3,50,35,15,184.3,49,8.4,44.2,58,27,31,3,0,27
407,3,407.3,B,7,3,50,35,15,188.1,158.3,6.6,5.5,137,68,69,2,9,77
407,4,407.4,A,2,1,0,0,100,16.9,24,76.5,78.4,31,21,10,12,4,25
407,4,407.4,B,2,1,0,0,100,38.4,0,228.9,52,0,0,0,15,26,26
407,5,407.5,A,13,3,15,50,35,46.9,164.1,122.1,54.9,106,41,65,4,15,56
407,5,407.5,B,13,3,15,50,35,102.5,117.7,33.6,21,69,43,26,4,0,43
407,6,407.6,A,5,3,75,12.5,12.5,159.6,104.4,0.8,1.5,73,39,34,1,0,39
407,6,407.6,B,5,3,75,12.5,12.5,151.57,270.9,1.93,18.81,155,81,74,1,0,81
407,7,407.7,A,14,0,0,0,0,0,0,0,114.5,0,0,0,0,0,0
407,7,407.7,B,14,0,0,0,0,0,0,0,77.3,0,0,0,0,0,0
407,8,407.8,A,4,3,33.33,33.33,33.33,230.5,46.9,47.2,61.5,58,38,20,12,1,39
407,8,407.8,B,4,3,33.33,33.33,33.33,198.6,58,40.9,26.6,54,22,32,11,0,22
407,9,407.9,A,3,1,0,100,0,58,119.1,0,81.8,53,35,18,0,0,35
407,9,407.9,B,3,1,0,100,0,78.1,172,10.5,56.7,127,31,96,1,0,31
407,10,407.10,A,11,3,12.5,75,12.5,74.2,177.4,6.2,23,135,70,65,1,0,70
407,10,407.10,B,11,3,12.5,75,12.5,57.8,179,25,20.8,111,36,75,1,0,36
407,11,407.11,A,1,1,100,0,0,139.6,0,0,16.4,0,0,0,0,0,0
407,11,407.11,B,1,1,100,0,0,204.3,0,0,17.9,0,0,0,0,0,0
407,12,407.12,A,8,3,12.5,12.5,75,107.8,142,68.2,18.9,98,66,32,11,0,66
407,12,407.12,B,8,3,12.5,12.5,75,90.9,265.4,27,38.7,177,107,70,7,3,110
407,13,407.13,A,12,3,25,60,15,49,105.5,15.9,21.9,90,43,47,2,0,43
407,13,407.13,B,12,3,25,60,15,100.2,222.7,13,16.2,111,54,57,1,0,54
407,14,407.14,A,10,3,35,15,50,147.3,224.2,50.1,1.9,156,73,83,3,0,73
407,14,407.14,B,10,3,35,15,50,106.8,85.9,16,0.8,70,46,24,7,0,46
904,1,904.1,A,7,3,50,35,15,100.39,126.54,11.03,14.85,101,48,53,3,0,48
904,1,904.1,B,7,3,50,35,15,163.3,116.7,4,12.1,152,57,95,2,0,57
904,2,904.2,A,14,0,0,0,0,0,0,0,92.2,0,0,0,0,0,0
904,2,904.2,B,14,0,0,0,0,0,0,0,187.8,0,0,0,0,0,0
904,3,904.3,A,12,3,25,60,15,117.6,75.2,22.2,36.5,103,44,59,4,0,44
904,3,904.3,B,12,3,25,60,15,151.68,46.86,51.57,20.77,51,32,19,7,2,34
904,4,904.4,A,9,3,15,25,60,94.3,163.4,95.4,12.9,121,59,62,24,0,59
904,4,904.4,B,9,3,15,25,60,87.6,80.6,54.9,15.1,56,35,21,31,0,35
904,5,904.5,A,3,1,0,100,0,28.4,117.3,0,41.1,108,42,66,0,0,42
904,5,904.5,B,3,1,0,100,0,86.2,104.5,0,58.5,117,47,70,0,0,47
904,6,904.6,A,8,3,12.5,12.5,75,108.3,140.3,83.7,23.7,120,59,61,13,10,69
904,6,904.6,B,8,3,12.5,12.5,75,66.22,175.34,155.55,25.61,139,100,39,32,87,187
904,7,904.7,A,11,3,12.5,75,12.5,192,192.5,0,4,79,55,24,0,0,55
904,7,904.7,B,11,3,12.5,75,12.5,147.3,46.2,54,14,26,15,11,5,0,15
904,8,904.8,A,13,3,15,50,35,153.3,78.2,19.2,22.8,87,29,58,7,0,29
904,8,904.8,B,13,3,15,50,35,81,177.1,13.1,24.2,157,72,85,5,0,72
904,9,904.9,A,10,3,35,15,50,96.6,248.8,43,6.4,169,101,68,17,0,101
904,9,904.9,B,10,3,35,15,50,69.16,196.2,16.9,27.89,187,86,101,8,0,86
904,10,904.10,A,5,3,75,12.5,12.5,191.1,129.2,7.3,13.1,117,56,61,5,0,56
904,10,904.10,B,5,3,75,12.5,12.5,142.1,125,4.4,8.4,103,61,42,1,0,61
904,11,904.11,A,2,1,0,0,100,26.1,92.3,224.8,26.7,96,51,45,45,14,65
904,11,904.11,B,2,1,0,0,100,10.5,53.4,197.5,34.9,34,27,7,30,22,49
904,12,904.12,A,6,3,60,15,25,157.7,77,20.5,1.3,68,29,39,7,0,29
904,12,904.12,B,6,3,60,15,25,170.5,169,43.4,7.2,146,64,82,11,0,64
904,13,904.13,A,4,3,33.33,33.33,33.33,222.8,178.9,13.6,25.7,137,61,76,5,0,61
904,13,904.13,B,4,3,33.33,33.33,33.33,96.1,87.5,10,26.27,84,39,45,2,0,39
904,14,904.14,A,1,1,100,0,0,138.5,22.1,0,2.4,32,17,15,0,0,17
904,14,904.14,B,1,1,100,0,0,118.5,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
